Date,Transaction,Name,Memo,Amount
2021-03-01,CREDIT,ELECTRONIC DEPOSIT DAVENPORT SCHOOL,Download from usbank.com.,1903.72
2021-03-01,DEBIT,ELECTRONIC WITHDRAWAL IOWA STATE ED AS,Download from usbank.com.,-75.30
2021-03-01,5201,CHECK,Download from usbank.com.,-901.42
2021-03-02,CREDIT,ELECTRONIC DEPOSIT GreenState CU Ex,Download from usbank.com.,100.00
2021-03-02,DEBIT,WEB AUTHORIZED PMT GreenState CU Ex,Download from usbank.com.,-200.00
2021-03-04,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-39.53
2021-03-04,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-202.29
2021-03-04,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-206.67
2021-03-04,DEBIT,WEB AUTHORIZED PMT TARGET CARD SRVC,Download from usbank.com.,-273.32
2021-03-05,DEBIT,WEB AUTHORIZED PMT VENMO,Download from usbank.com.,-20.00
2021-03-05,DEBIT,ELECTRONIC WITHDRAWAL VANGUARD BUY,Download from usbank.com.,-450.00
2021-03-08,DEBIT,WEB AUTHORIZED PMT GreenState CU Ex,Download from usbank.com.,-300.00
2021-03-10,DEBIT,WEB AUTHORIZED PMT VENMO,Download from usbank.com.,-125.00
2021-03-15,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-26.98
2021-03-15,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-46.60
2021-03-15,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-63.29
2021-03-16,DEBIT,MONTHLY MAINTENANCE FEE,Download from usbank.com.,-24.95
2021-03-16,CREDIT,MONTHLY MAINTENANCE FEE WAIVED,Download from usbank.com.,24.95
2021-03-16,CREDIT,INTEREST PAID THIS PERIOD,Download from usbank.com.,0.19
2021-03-17,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-59.68
2021-03-17,DEBIT,WEB AUTHORIZED PMT CHASE CREDIT CRD,Download from usbank.com.,-220.30
2021-03-22,DEBIT,WEB AUTHORIZED PMT VANGUARD BUY,Download from usbank.com.,-600.00
2021-03-24,630,CHECK,Download from usbank.com.,-90.00